cancer_type_abbr,r_id,gene,tool
COAD,250005818,PCDHGB5,e-driver
COAD,250005818,PCDHGC4,e-driver
COAD,250005818,PCDHGA9,e-driver
COAD,250005818,PCDHGA4,e-driver
COAD,250005818,PCDHGA2,e-driver
COAD,250005818,PCDHGA6,e-driver
COAD,250005818,PCDHGB2,e-driver
COAD,250005818,PCDHGA1,e-driver
COAD,250005818,SELE,e-driver
COAD,250005818,PCDHGC3,e-driver
COAD,250005818,IGSF10,e-driver
COAD,250005818,PCDHGA8,e-driver
COAD,250005818,PCDHGB4,e-driver
COAD,250005818,PCDHGA10,e-driver
COAD,250005818,PCDHGA5,e-driver
COAD,250005818,PCDHGB3,e-driver
COAD,250005818,PCDHGA12,e-driver
COAD,250005818,NR1I2,e-driver
COAD,250005818,PCDHGC5,e-driver
COAD,250005818,MCCC1,e-driver
COAD,250005818,MAATS1,e-driver
COAD,250005818,LAMB3,e-driver
COAD,250005818,LINGO4,e-driver
COAD,250005818,LRIG1,e-driver
COAD,250005818,VEGFA,e-driver
COAD,250005818,CROCC,e-driver
COAD,250005818,ZNF791,e-driver
COAD,250005818,ZNF490,e-driver
COAD,250005818,MST1R,e-driver
COAD,250005818,CDK11B,e-driver
COAD,250005818,ESX1,e-driver
COAD,250005818,RPH3A,e-driver
COAD,250005818,IL1RAPL2,e-driver
COAD,250005818,JPH3,e-driver
COAD,250005818,FLCN,e-driver
COAD,250005818,DOCK11,e-driver
COAD,250005818,CR1,e-driver
COAD,250005818,ADCY3,e-driver
COAD,250005818,KRT73,e-driver
COAD,250005818,NLRP12,e-driver
COAD,250005818,SEMA4D,e-driver
COAD,250005818,CAMK1,e-driver
COAD,250005818,SCN5A,e-driver
COAD,250005818,LVRN,e-driver
COAD,250005818,COL6A5,e-driver
COAD,250005818,COL4A4,e-driver
COAD,250005818,OAS2,e-driver
COAD,250005818,SLC9A5,e-driver
COAD,250005818,ADAMTSL1,e-driver
COAD,250005818,CSMD1,e-driver
COAD,250005818,RASAL1,e-driver
COAD,250005818,OBSCN,e-driver
COAD,250005818,CDH17,e-driver
COAD,250005818,TTI2,e-driver
COAD,250005818,TNKS2,e-driver
COAD,250005818,PLCD1,e-driver
COAD,250005818,COL6A6,e-driver
COAD,250005818,TPCN1,e-driver
COAD,250005818,ZMYM6,e-driver
COAD,250005818,TRIM41,e-driver
COAD,250005818,NHLRC2,e-driver
COAD,250005818,SEPHS2,e-driver
COAD,250005818,RPUSD1,e-driver
COAD,250005818,CHTF18,e-driver
COAD,250005818,APCDD1L,e-driver
COAD,250005818,SVEP1,e-driver
COAD,250005818,EPM2A,e-driver
COAD,250005818,SKOR1,e-driver
COAD,250005818,EPB41L1,e-driver
COAD,250005818,ALG11,e-driver
COAD,250005818,SLC1A6,e-driver
COAD,250005818,ANK1,e-driver
COAD,250005818,CSMD3,e-driver
COAD,250005818,ZNF480,e-driver
COAD,250005818,MIOS,e-driver
COAD,250005818,PCDHA13,e-driver
COAD,250005818,PIK3CA,e-driver
COAD,250005818,NCS1,e-driver
COAD,250005818,PCDHA9,e-driver
COAD,250005818,PCDHA12,e-driver
COAD,250005818,PCDHAC1,e-driver
COAD,250005818,HMCN2,e-driver
COAD,250005818,PCDHAC2,e-driver
COAD,250005818,MED26,e-driver
COAD,250005818,ZNF16,e-driver
COAD,250005818,PCDHA2,e-driver
COAD,250005818,PCDHA4,e-driver
COAD,250005818,PCDHA10,e-driver
COAD,250005818,NUDT13,e-driver
COAD,250005818,PCDHA7,e-driver
COAD,250005818,PCDHA3,e-driver
COAD,250005818,PCDHA6,e-driver
COAD,250005818,PCDHA5,e-driver
COAD,250005818,ANGEL2,e-driver
COAD,250005818,FEZF1,e-driver
COAD,250005818,B3GNT9,e-driver
COAD,250005818,ZMYM1,e-driver
COAD,250005818,JAM3,e-driver
COAD,250005818,WWP1,e-driver
COAD,250005818,ACTN1,e-driver
COAD,250005818,ATRNL1,e-driver
COAD,250005818,CAVIN4,e-driver
COAD,250005818,OTOGL,e-driver
COAD,250005818,CELSR2,e-driver
COAD,250005818,CAPSL,e-driver
COAD,250005818,PTPRQ,e-driver
COAD,250005818,LAMB2,e-driver
COAD,250005818,MYF5,e-driver
COAD,250005818,CACNA2D3,e-driver
COAD,250005818,ADGRA1,e-driver
COAD,250005818,PGR,e-driver
COAD,250005818,IGDCC4,e-driver
COAD,250005818,KNDC1,e-driver
COAD,250005818,LRP1,e-driver
COAD,250005818,SFPQ,e-driver
COAD,250005818,UBN2,e-driver
COAD,250005818,SUSD5,e-driver
COAD,250005818,PPFIA2,e-driver
COAD,250005818,FRRS1L,e-driver
COAD,250005818,NLE1,e-driver
COAD,250005818,KLF12,e-driver
COAD,250005818,TPH2,e-driver
COAD,250005818,EPB41L4B,e-driver
COAD,250005818,LOXL4,e-driver
COAD,250005818,ARMC3,e-driver
COAD,250005818,USP13,e-driver
COAD,250005818,KCNC2,e-driver
COAD,250005818,MYOF,e-driver
COAD,250005818,PXN,e-driver
COAD,250005818,PYROXD2,e-driver
COAD,250005818,EGFR,e-driver
COAD,250005818,FIBCD1,e-driver
COAD,250005818,DCAF8L2,e-driver
COAD,250005818,STON1,e-driver
COAD,250005818,NLGN1,e-driver
COAD,250005818,KIF1A,e-driver
COAD,250005818,ADGRD1,e-driver
COAD,250005818,ZNF534,e-driver
COAD,250005818,LPA,e-driver
COAD,250005818,POGLUT2,e-driver
COAD,250005818,NID1,e-driver
COAD,250005818,ZNF808,e-driver
COAD,250005818,MMP17,e-driver
COAD,250005818,TECTA,e-driver
COAD,250005818,FCGBP,e-driver
COAD,250005818,APBA1,e-driver
COAD,250005818,ADCY6,e-driver
COAD,250005818,PTGR1,e-driver
COAD,250005818,SPATA31A6,e-driver
COAD,250005818,NCAM2,e-driver
COAD,250005818,EXT1,e-driver
COAD,250005818,G6PD,e-driver
COAD,250005818,ZNF483,e-driver
COAD,250005818,PRDM8,e-driver
COAD,250005818,KLF3,e-driver
COAD,250005818,CD72,e-driver
COAD,250005818,ASCL1,e-driver
COAD,250005818,PCDHB1,e-driver
COAD,250005818,SLC35G3,e-driver
COAD,250005818,GRIN1,e-driver
COAD,250005818,ADAM30,e-driver
COAD,250005818,EPPK1,e-driver
COAD,250005818,GORASP1,e-driver
COAD,250005818,PCDHB14,e-driver
COAD,250005818,PCDHB8,e-driver
COAD,250005818,NR0B1,e-driver
COAD,250005818,PCDHB9,e-driver
COAD,250005818,PCDHB4,e-driver
COAD,250005818,PCDHB16,e-driver
COAD,250005818,PCDHB13,e-driver
COAD,250005818,SLC38A1,e-driver
COAD,250005818,PCDHB5,e-driver
COAD,250005818,FOXJ1,e-driver
COAD,250005818,BHLHE22,e-driver
COAD,250005818,ZNF546,e-driver
COAD,250005818,ALS2CL,e-driver
COAD,250005818,SERPINA10,e-driver
COAD,250005818,ZNF780A,e-driver
COAD,250005818,STRN3,e-driver
COAD,250005818,MEGF9,e-driver
COAD,250005818,HCFC2,e-driver
COAD,250005818,PCSK1,e-driver
COAD,250005818,SLC25A25,e-driver
COAD,250005818,ATXN7L2,e-driver
COAD,250005818,WDR7,e-driver
COAD,250005818,EP400,e-driver
COAD,250005818,ENPP2,e-driver
COAD,250005818,NASP,e-driver
COAD,250005818,PADI3,e-driver
COAD,250005818,NOMO2,e-driver
COAD,250005818,PCLO,e-driver
COAD,250005818,HDLBP,e-driver
COAD,250005818,CARMIL1,e-driver
COAD,250005818,DDX51,e-driver
COAD,250005818,PDIA4,e-driver
COAD,250005818,MALRD1,e-driver
COAD,250005818,GP5,e-driver
COAD,250005818,ZNF33B,e-driver
COAD,250005818,RALYL,e-driver
COAD,250005818,SFMBT2,e-driver
COAD,250005818,C4BPA,e-driver
COAD,250005818,GARNL3,e-driver
COAD,250005818,PNMA8A,e-driver
COAD,250005818,MTMR4,e-driver
COAD,250005818,INTS9,e-driver
COAD,250005818,HS3ST4,e-driver
